test_name,fullkern_results,module_results,
igt@fbdev@eof,SKIP,SKIP
igt@i915_selftest@live@sanitycheck,SUCCESS
igt@i915_selftest@live@uncore,SUCCESS
igt@i915_selftest@live@workarounds,SUCCESS
igt@i915_selftest@live@gt_engines,SUCCESS
igt@i915_selftest@live@gt_timelines,SUCCESS
igt@i915_selftest@live@gt_contexts,SUCCESS
igt@i915_selftest@live@gt_lrc,SUCCESS
igt@i915_selftest@live@gt_mocs,SUCCESS
igt@i915_selftest@live@gt_pm,FAIL
igt@i915_selftest@live@gt_heartbeat,SUCCESS
igt@i915_selftest@live@requests,SUCCESS
igt@i915_selftest@live@active,SUCCESS
igt@i915_selftest@live@objects,SUCCESS
igt@i915_selftest@live@mman,SUCCESS
igt@i915_selftest@live@dmabuf,SUCCESS
igt@i915_selftest@live@vma,SUCCESS
igt@i915_selftest@live@coherency,SUCCESS
igt@i915_selftest@live@gtt,SUCCESS
igt@i915_selftest@live@gem,SUCCESS
igt@i915_selftest@live@obj_lock,SUCCESS
igt@i915_selftest@live@evict,SUCCESS
igt@i915_selftest@live@hugepages,SUCCESS
igt@i915_selftest@live@gem_contexts,SUCCESS
igt@i915_selftest@live@gem_execbuf,SUCCESS
igt@i915_selftest@live@blt,SUCCESS
igt@i915_selftest@live@win_blt_copy,SUCCESS
igt@i915_selftest@live@client,SUCCESS
igt@i915_selftest@live@reset,SUCCESS
igt@i915_selftest@live@display,FAIL
igt@i915_selftest@live@memory_region,SUCCESS
igt@i915_selftest@live@memory_region_cross_tile,SUCCESS
igt@i915_selftest@live@remote_tiles,SUCCESS
igt@i915_selftest@live@hangcheck,SUCCESS
igt@i915_selftest@live@execlists,SUCCESS
igt@i915_selftest@live@ring_submission,SUCCESS
igt@i915_selftest@live@perf,SUCCESS
igt@i915_selftest@live@guc_hang,SUCCESS
igt@i915_selftest@live@guc_multi_lrc,SUCCESS
igt@i915_selftest@live@guc_flow_control,SUCCESS
igt@i915_selftest@live@iov_ggtt,SUCCESS
igt@i915_selftest@live@semaphores,SUCCESS
igt@i915_selftest@live@guc_doorbells,SUCCESS
igt@i915_selftest@live@slpc,SUCCESS
igt@i915_selftest@live@late_gt_pm,SUCCESS
igt@kms_pipe_crc_basic@read-crc-pipe-a-frame-sequence,SKIP,SKIP
igt@kms_psr@cursor_plane_move,SKIP,SKIP
igt@i915_pm_rpm@module-reload,SUCCESS,SUCCESS
igt@gem_flink_basic@flink-lifetime,SUCCESS,SUCCESS
igt@gem_render_linear_blits@basic,SUCCESS,SUCCESS
igt@fbdev@read,SKIP,SKIP
igt@i915_pm_rps@basic-api,SUCCESS,SUCCESS
igt@kms_addfb_basic@basic-x-tiled-legacy,SKIP,SKIP
igt@gem_exec_fence@basic-wait@rcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-wait@bcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-wait@vcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-wait@vcs1,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-wait@vecs0,SUCCESS,SUCCESS
igt@gem_exec_balancer@parallel-ordering,SKIP,SKIP
igt@kms_psr@primary_page_flip,SKIP,SKIP
igt@core_hotunplug@unbind-rebind,SUCCESS,SUCCESS
igt@i915_getparams_basic@basic-subslice-total,SUCCESS,SUCCESS
igt@kms_force_connector_basic@force-edid,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-framebuffer-vs-set-tiling,SKIP,SKIP
igt@gem_tiled_blits@basic,SKIP,SKIP
igt@kms_cursor_legacy@basic-busy-flip-before-cursor-atomic,SKIP,SKIP
igt@gem_tiled_pread_basic,,
igt@vgem_basic@debugfs,SUCCESS,SUCCESS
igt@kms_addfb_basic@invalid-set-prop,SUCCESS,SUCCESS
igt@gem_basic@create-close,SUCCESS,SUCCESS
igt@gem_exec_fence@nb-await@rcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@nb-await@bcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@nb-await@vcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@nb-await@vcs1,SUCCESS,SUCCESS
igt@gem_exec_fence@nb-await@vecs0,SUCCESS,SUCCESS
igt@kms_addfb_basic@bad-pitch-256,SUCCESS,SUCCESS
igt@prime_vgem@basic-fence-read,SKIP,SKIP
igt@kms_addfb_basic@clobberred-modifier,SKIP,SKIP
igt@kms_pipe_crc_basic@read-crc-pipe-b,SKIP,SKIP
igt@kms_addfb_basic@too-wide,SUCCESS,SUCCESS
igt@gem_ctx_create@basic-files,SUCCESS,SUCCESS
igt@prime_self_import@basic-with_fd_dup,SUCCESS,SUCCESS
igt@vgem_basic@sysfs,SUCCESS,SUCCESS
igt@gem_exec_store@basic@smem0-to-smem0,SUCCESS,SUCCESS
igt@gem_exec_store@basic@smem0-to-lmem0,SUCCESS,SUCCESS
igt@gem_exec_store@basic@lmem0-to-smem0,SUCCESS,SUCCESS
igt@gem_exec_store@basic@lmem0-to-lmem0,SUCCESS,SUCCESS
igt@kms_cursor_legacy@basic-flip-before-cursor-varying-size,SKIP,SKIP
igt@kms_setmode@basic-clone-single-crtc,SUCCESS,SUCCESS
igt@kms_chamelium@vga-edid-read,SKIP,SKIP
igt@gem_exec_suspend@basic-s4-devices@basic-s4-devices-smem,SKIP,SKIP
igt@gem_exec_suspend@basic-s4-devices@basic-s4-devices-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@rcs0-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@bcs0-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs0-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs1-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vecs0-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@rcs0-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@bcs0-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs0-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs1-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vecs0-lmem0,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-yf-tiled-legacy,SUCCESS,SUCCESS
igt@i915_pm_rpm@basic-rte,SKIP,SKIP
igt@kms_busy@basic,SKIP,SKIP
igt@kms_cursor_legacy@basic-flip-before-cursor-legacy,SKIP,SKIP
igt@gem_mmap@basic,SUCCESS,SUCCESS
igt@kms_chamelium@dp-hpd-fast,SKIP,SKIP
igt@kms_flip@basic-flip-vs-dpms,SKIP,SKIP
igt@kms_addfb_basic@bad-pitch-65536,SUCCESS,SUCCESS
igt@prime_self_import@basic-llseek-bad,SUCCESS,SUCCESS
igt@kms_cursor_legacy@basic-flip-after-cursor-atomic,SKIP,SKIP
igt@kms_cursor_legacy@basic-flip-after-cursor-legacy,SKIP,SKIP
igt@kms_cursor_legacy@basic-busy-flip-before-cursor-legacy,SKIP,SKIP
igt@kms_addfb_basic@addfb25-y-tiled-small-legacy,SUCCESS,SUCCESS
igt@kms_prop_blob@basic,SUCCESS,SUCCESS
igt@prime_vgem@basic-fence-mmap,SKIP,SKIP
igt@fbdev@info,SKIP,SKIP
igt@gem_render_tiled_blits@basic,SKIP,SKIP
igt@kms_addfb_basic@invalid-get-prop-any,SUCCESS,SUCCESS
igt@prime_vgem@basic-gtt,SKIP,SKIP
igt@gem_exec_suspend@basic-s0@basic-s0-smem,SUCCESS,SUCCESS
igt@gem_exec_suspend@basic-s0@basic-s0-lmem0,SUCCESS,SUCCESS
igt@prime_vgem@basic-fence-flip,SKIP,SKIP
igt@kms_force_connector_basic@force-load-detect,SKIP,SKIP
igt@gem_flink_basic@bad-flink,SUCCESS,SUCCESS
igt@kms_addfb_basic@framebuffer-vs-set-tiling,SKIP,SKIP
igt@gem_sync@basic-each@smem,SUCCESS,SUCCESS
igt@gem_sync@basic-each@lmem0,SUCCESS,SUCCESS
igt@prime_vgem@basic-write,SKIP,SKIP
igt@i915_hangman@error-state-basic,SUCCESS,SUCCESS
